nrc_anger_disgust,mfd_hit_rate
0.0,0.0
0.0,0.0
0.1111111111111111,0.0625
0.0,0.0
0.0,0.0
0.1111111111111111,0.0625
0.0,0.0
0.0,0.030303030303030304
0.0,0.07692307692307693
0.0,0.0
0.09090909090909091,0.07407407407407407
0.11627906976744186,0.06451612903225806
0.0,0.0
0.0,0.0
0.14705882352941177,0.05555555555555555
0.0,0.03125
0.0,0.0
0.0,0.05
0.045454545454545456,0.16666666666666666
0.0,0.047619047619047616
0.0,0.045454545454545456
0.0,0.08333333333333333
0.0,0.07692307692307693
0.023809523809523808,0.07894736842105263
0.04,0.14285714285714285
0.0,0.08695652173913043
0.07142857142857142,0.10526315789473684
0.05555555555555555,0.13043478260869565
0.0,0.13636363636363635
0.03508771929824561,0.057692307692307696
0.0196078431372549,0.05128205128205128
0.0,0.07142857142857142
0.0,0.041666666666666664
0.0,0.030303030303030304
0.018518518518518517,0.075
0.022222222222222223,0.041666666666666664
0.0,0.1111111111111111
0.0,0.10416666666666667
0.0,0.05555555555555555
0.0,0.05
0.1111111111111111,0.10526315789473684
0.0,0.05
0.08333333333333333,0.05263157894736842
0.10526315789473684,0.10526315789473684
0.0,0.06666666666666667
0.0,0.11764705882352941
0.14285714285714285,0.05555555555555555
0.043478260869565216,0.0
0.06818181818181818,0.044444444444444446
0.0,0.022727272727272728
0.04,0.08695652173913043
0.0,0.05
0.0,0.0
0.0,0.0
0.024390243902439025,0.02857142857142857
0.0,0.06666666666666667
0.0,0.0625
0.041666666666666664,0.08888888888888889
0.0,0.0625
0.0,0.0625
0.038461538461538464,0.0
0.034482758620689655,0.08333333333333333
0.024390243902439025,0.029411764705882353
0.0,0.08
0.03773584905660377,0.22580645161290322
0.0,0.044444444444444446
0.0,0.0425531914893617
0.0,0.2
0.016129032258064516,0.07407407407407407
0.0196078431372549,0.02040816326530612
0.0,0.1111111111111111
0.18181818181818182,0.2
0.08695652173913043,0.09523809523809523
0.02631578947368421,0.03333333333333333
0.06,0.027777777777777776
0.0,0.13333333333333333
0.0,0.09090909090909091
0.0,0.16666666666666666
0.04,0.13043478260869565
0.05660377358490566,0.022727272727272728
0.0,0.14893617021276595
0.0,0.041666666666666664
0.018518518518518517,0.04
0.01818181818181818,0.09803921568627451
0.0,0.09375
0.09523809523809523,0.09523809523809523
0.0,0.04081632653061224
0.0,0.04
0.0,0.06666666666666667
